epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.923,0.60422,1.36241,1.07797,0.96313,0.42128,0.83563,0.71461,0.58705,2.46239,1.12964,0.000649123,0.000649123,0.000649123
2,395.916,0.56171,0.88995,1.02608,0.28793,0.61277,0.29892,0.23959,0.99469,2.91289,1.51727,0.00128974,0.00128974,0.00128974
3,593.973,0.58559,0.78516,1.02917,0.86752,0.5234,0.59805,0.19557,1.65732,3.87669,2.23058,0.00190395,0.00190395,0.00190395
4,802.942,0.59182,0.69627,1.01421,0.51444,0.2766,0.35461,0.27752,1.50255,3.74226,1.95898,0.0018812,0.0018812,0.0018812
5,998.902,0.54906,0.59463,0.98193,0.37387,0.59712,0.34383,0.20486,1.70002,2.64733,2.35285,0.0018416,0.0018416,0.0018416
6,1195.02,0.51639,0.54327,0.97371,0.89332,0.60851,0.63007,0.43671,1.10182,2.24186,1.65512,0.001802,0.001802,0.001802
7,1385.3,0.49879,0.49956,0.96663,0.75854,0.62128,0.56699,0.29154,2.36322,2.21605,3.03032,0.0017624,0.0017624,0.0017624
8,1574.75,0.47626,0.45133,0.96308,0.35486,0.53191,0.40372,0.25529,1.76151,2.37693,2.28107,0.0017228,0.0017228,0.0017228
9,1765.42,0.4402,0.40253,0.93623,0.64211,0.64255,0.51814,0.44889,1.51942,2.20286,1.93644,0.0016832,0.0016832,0.0016832
10,1955.41,0.47089,0.42082,0.95759,0.98509,0.28117,0.40241,0.30317,1.80085,2.6458,2.12126,0.0016436,0.0016436,0.0016436
11,2145.13,0.43295,0.38684,0.93546,0.78916,0.63404,0.62786,0.48083,0.86834,2.72669,1.32367,0.001604,0.001604,0.001604
12,2336.45,0.42132,0.36635,0.94048,0.83472,0.60851,0.62273,0.45187,1.38877,2.18145,1.94671,0.0015644,0.0015644,0.0015644
13,2530.21,0.42736,0.3636,0.93575,0.98508,0.6383,0.65297,0.45518,1.93507,1.82855,2.18345,0.0015248,0.0015248,0.0015248
14,2723.52,0.39353,0.33708,0.91925,0.39384,0.59574,0.43856,0.32076,1.55964,2.48885,1.9689,0.0014852,0.0014852,0.0014852
15,2913.62,0.39388,0.32157,0.91592,0.39375,0.61633,0.45912,0.35825,1.76021,2.04077,2.25639,0.0014456,0.0014456,0.0014456
16,3103.77,0.36397,0.30983,0.91859,0.77714,0.51489,0.57887,0.42824,1.54322,2.05915,1.96467,0.001406,0.001406,0.001406
17,3294.05,0.35455,0.30021,0.91304,0.80127,0.29362,0.37715,0.31071,1.38363,3.12747,1.92907,0.0013664,0.0013664,0.0013664
18,3484.43,0.34276,0.2879,0.90138,0.9944,0.25957,0.33765,0.29122,2.03992,2.58549,2.30927,0.0013268,0.0013268,0.0013268
19,3674.08,0.36186,0.30558,0.91511,0.57953,0.63404,0.48842,0.41153,1.49439,2.42119,1.96258,0.0012872,0.0012872,0.0012872
20,3865.27,0.36019,0.29609,0.91005,0.32213,0.59149,0.47522,0.37417,1.36549,2.42942,1.77553,0.0012476,0.0012476,0.0012476
21,4056.33,0.34109,0.28748,0.89738,0.56982,0.64255,0.51733,0.45801,1.23878,2.14409,1.63247,0.001208,0.001208,0.001208
22,4248.48,0.33868,0.27362,0.90677,0.90121,0.61277,0.64944,0.49279,1.51592,1.86225,2.00657,0.0011684,0.0011684,0.0011684
23,4440.48,0.3332,0.26837,0.90512,0.54074,0.61626,0.61605,0.51686,1.03511,2.60743,1.62366,0.0011288,0.0011288,0.0011288
24,4631.06,0.31411,0.25404,0.89367,0.77607,0.63404,0.64767,0.5742,0.93865,2.08288,1.57229,0.0010892,0.0010892,0.0010892
25,4820.75,0.31644,0.25786,0.89198,0.38614,0.62979,0.48344,0.39822,1.24571,2.42129,1.66704,0.0010496,0.0010496,0.0010496
26,5009.87,0.29927,0.24267,0.88783,0.73701,0.64255,0.58197,0.50092,1.0011,2.13781,1.54136,0.00101,0.00101,0.00101
27,5200.62,0.29887,0.24577,0.88526,0.4433,0.61277,0.49225,0.45261,1.14181,2.22002,1.54714,0.0009704,0.0009704,0.0009704
28,5392.01,0.29457,0.24001,0.88637,0.5718,0.64211,0.5319,0.39615,1.47488,2.47811,1.72544,0.0009308,0.0009308,0.0009308
29,5582.43,0.29437,0.23912,0.88294,0.417,0.3234,0.38151,0.29995,1.6499,3.11348,1.98691,0.0008912,0.0008912,0.0008912
30,5773,0.28632,0.2306,0.87371,0.438,0.54059,0.46306,0.36027,1.55147,2.70976,1.68493,0.0008516,0.0008516,0.0008516
