epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.837,1.46665,2.73632,1.52835,0.00313,1,0.80359,0.4403,1.28045,3.01118,1.33895,0.00038,0.00038,0.00038
2,224.04,1.21982,2.02053,1.35891,0.97896,0.46755,0.93903,0.58251,1.17117,2.43396,1.2618,0.000764556,0.000764556,0.000764556
3,335.861,1.24236,1.99138,1.35921,0.75538,0.84422,0.79917,0.44316,1.4139,1.87172,1.50252,0.00113327,0.00113327,0.00113327
4,446.982,1.25606,1.83578,1.33366,0.84094,0.91457,0.94616,0.58198,1.28165,3.0158,1.82466,0.00148615,0.00148615,0.00148615
5,557.414,1.30569,1.71658,1.35918,0.7965,0.82605,0.84812,0.39815,1.71576,2.18674,1.70201,0.00182318,0.00182318,0.00182318
6,666.823,1.38225,1.83938,1.44571,0.79512,0.7801,0.85,0.41398,1.60804,2.62144,1.55719,0.001802,0.001802,0.001802
7,777.929,1.19559,1.59567,1.35183,0.81195,0.93467,0.91305,0.57019,1.25759,1.45961,1.32167,0.0017624,0.0017624,0.0017624
8,885.692,1.17889,1.57371,1.31368,0.7275,0.9196,0.87843,0.49374,1.38529,1.70567,1.53276,0.0017228,0.0017228,0.0017228
9,993.393,1.24242,1.49394,1.338,0.89898,0.93908,0.94835,0.63286,1.13614,1.12763,1.26417,0.0016832,0.0016832,0.0016832
10,1099.87,1.1816,1.50966,1.30284,0.68209,0.65327,0.75394,0.49232,1.23232,1.43368,1.27087,0.0016436,0.0016436,0.0016436
11,1209.52,1.12438,1.36926,1.27778,0.83365,0.91457,0.92811,0.66082,1.04954,0.94719,1.19857,0.001604,0.001604,0.001604
12,1317.38,1.08613,1.32884,1.27955,0.89554,0.94782,0.94986,0.68008,1.00248,0.84536,1.13448,0.0015644,0.0015644,0.0015644
13,1425.49,1.07589,1.24666,1.24753,0.88596,0.94472,0.95245,0.64274,1.1033,1.12483,1.20078,0.0015248,0.0015248,0.0015248
14,1533.56,1.10468,1.23072,1.27806,0.79284,0.86543,0.89677,0.59344,1.07813,1.05441,1.21059,0.0014852,0.0014852,0.0014852
15,1640.95,1.07371,1.19645,1.24096,0.85235,0.86935,0.8955,0.5568,1.25101,0.89264,1.29223,0.0014456,0.0014456,0.0014456
16,1749.37,1.08836,1.21969,1.26407,0.81922,0.96482,0.90981,0.68128,0.92649,0.81531,1.0991,0.001406,0.001406,0.001406
17,1857.45,1.00603,1.14964,1.19244,0.86926,0.92462,0.95315,0.69598,0.94861,0.74417,1.11952,0.0013664,0.0013664,0.0013664
18,1964.35,0.99281,1.08963,1.18312,0.91434,0.91185,0.95869,0.72096,0.93694,0.68818,1.12139,0.0013268,0.0013268,0.0013268
19,2071.55,0.97994,1.04418,1.17745,0.88651,0.90287,0.9083,0.5509,1.21317,1.09697,1.28402,0.0012872,0.0012872,0.0012872
20,2178.49,1.02081,1.04934,1.22732,0.87822,0.89447,0.90566,0.51073,1.31273,1.08732,1.3008,0.0012476,0.0012476,0.0012476
21,2285.83,0.96721,1.01682,1.20124,0.90765,0.93835,0.95875,0.70137,0.93549,0.70966,1.1127,0.001208,0.001208,0.001208
22,2393.25,0.91202,1.00141,1.15608,0.89181,0.91124,0.94398,0.67127,0.99245,0.73073,1.16973,0.0011684,0.0011684,0.0011684
23,2500.31,0.8915,0.94936,1.12961,0.88664,0.89447,0.9306,0.63614,1.07216,0.79108,1.21896,0.0011288,0.0011288,0.0011288
24,2607.71,0.90672,0.96046,1.17096,0.89773,0.9263,0.95207,0.692,0.96673,0.66629,1.11548,0.0010892,0.0010892,0.0010892
25,2715.27,0.94865,0.93688,1.16534,0.90927,0.94472,0.95551,0.65883,1.05831,0.75142,1.1723,0.0010496,0.0010496,0.0010496
26,2822.39,0.92263,0.94928,1.1671,0.93642,0.94472,0.96397,0.69361,1.01306,0.64135,1.14222,0.00101,0.00101,0.00101
27,2929.58,0.86505,0.89046,1.11707,0.89322,0.9598,0.94562,0.69795,0.95589,0.66505,1.14102,0.0009704,0.0009704,0.0009704
28,3036.38,0.87367,0.8908,1.13083,0.90379,0.9598,0.93367,0.72691,0.87232,0.63228,1.06579,0.0009308,0.0009308,0.0009308
29,3143.74,0.83489,0.89623,1.11051,0.8962,0.95477,0.9422,0.69165,0.96054,0.65636,1.13657,0.0008912,0.0008912,0.0008912
30,3251.58,0.86363,0.88149,1.12392,0.88898,0.89447,0.9347,0.68432,0.97624,0.7082,1.15271,0.0008516,0.0008516,0.0008516
31,3359.49,0.86046,0.88461,1.12591,0.84653,0.91473,0.8831,0.60367,1.10164,0.83483,1.25458,0.000812,0.000812,0.000812
32,3467.56,0.82115,0.84229,1.09418,0.91706,0.96482,0.94647,0.71453,0.86965,0.57881,1.102,0.0007724,0.0007724,0.0007724
33,3575.69,0.79991,0.84805,1.09481,0.91443,0.9196,0.94654,0.70652,0.92344,0.64402,1.13554,0.0007328,0.0007328,0.0007328
34,3682.61,0.79148,0.81936,1.09386,0.91895,0.96862,0.961,0.72363,0.9251,0.5733,1.1134,0.0006932,0.0006932,0.0006932
35,3789.75,0.79389,0.79183,1.09186,0.92396,0.96482,0.95655,0.69534,0.97041,0.57874,1.12604,0.0006536,0.0006536,0.0006536
36,3896.6,0.75344,0.75925,1.06451,0.91432,0.9653,0.95857,0.70128,0.97841,0.59588,1.15982,0.000614,0.000614,0.000614
37,4004.09,0.75126,0.80408,1.07155,0.8651,0.94975,0.9462,0.70138,0.97806,0.64079,1.13618,0.0005744,0.0005744,0.0005744
38,4110.82,0.76631,0.76544,1.07572,0.8659,0.88442,0.91163,0.68076,0.9548,0.72127,1.13886,0.0005348,0.0005348,0.0005348
39,4217.68,0.71957,0.73242,1.05646,0.89862,0.89086,0.91736,0.66678,0.95711,0.71706,1.12959,0.0004952,0.0004952,0.0004952
40,4324.81,0.74858,0.71051,1.06746,0.88799,0.91628,0.93695,0.68255,0.94083,0.65178,1.1326,0.0004556,0.0004556,0.0004556
41,4431.11,0.6087,0.65147,0.97642,0.89649,0.95753,0.9497,0.68777,0.96652,0.61973,1.14997,0.000416,0.000416,0.000416
42,4536.65,0.62138,0.6254,0.96644,0.91381,0.95899,0.95265,0.68462,0.98325,0.60319,1.18199,0.0003764,0.0003764,0.0003764
43,4643.36,0.60081,0.58981,0.97601,0.89603,0.95276,0.95831,0.69653,0.94461,0.58084,1.17386,0.0003368,0.0003368,0.0003368
44,4749.81,0.55682,0.56079,0.95268,0.91416,0.96324,0.96109,0.71598,0.93409,0.57116,1.15544,0.0002972,0.0002972,0.0002972
45,4856.23,0.56349,0.55764,0.95814,0.91606,0.96482,0.96343,0.72417,0.91184,0.56113,1.13308,0.0002576,0.0002576,0.0002576
46,4962.32,0.54618,0.53409,0.94696,0.92067,0.9598,0.96201,0.71171,0.94043,0.61611,1.13,0.000218,0.000218,0.000218
47,5068.39,0.52904,0.51919,0.93692,0.90009,0.95073,0.95194,0.71454,0.93201,0.59151,1.13074,0.0001784,0.0001784,0.0001784
48,5175.5,0.51752,0.51351,0.9393,0.90233,0.95477,0.95592,0.71238,0.92382,0.56767,1.12376,0.0001388,0.0001388,0.0001388
49,5281.87,0.51585,0.49615,0.92844,0.9155,0.9598,0.9573,0.71581,0.91871,0.56628,1.11716,9.92e-05,9.92e-05,9.92e-05
50,5389.14,0.49984,0.49855,0.9303,0.92921,0.94975,0.95322,0.71551,0.9246,0.56746,1.11706,5.96e-05,5.96e-05,5.96e-05
