epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.092,0.84861,2.09997,1.44535,0.00313,1,0.93126,0.82053,0.39482,3.07973,1.20865,0.00062,0.00062,0.00062
2,740.97,0.73184,1.23749,1.30066,0.81993,0.86364,0.93504,0.77116,0.6647,2.61968,1.59357,0.00123505,0.00123505,0.00123505
3,1112,0.70126,1.02566,1.25802,0.936,0.94184,0.98311,0.86487,0.69531,2.05856,1.51862,0.00182476,0.00182476,0.00182476
4,1483.35,0.76743,0.96319,1.30775,0.91748,0.93182,0.96452,0.77033,1.05461,2.05146,1.86142,0.0018812,0.0018812,0.0018812
5,1852.43,0.65665,0.77809,1.21939,0.92907,0.98485,0.98792,0.70884,0.8626,1.45623,1.60606,0.0018416,0.0018416,0.0018416
6,2219.18,0.65081,0.68398,1.20377,0.8368,0.8934,0.95744,0.8,0.77319,1.50707,1.50475,0.001802,0.001802,0.001802
7,2585.05,0.63302,0.61766,1.19684,0.82998,1,0.9873,0.85994,0.61799,1.69246,1.40179,0.0017624,0.0017624,0.0017624
8,2951.06,0.65673,0.57212,1.229,0.83931,0.82576,0.88152,0.79443,0.62479,1.09401,1.3393,0.0017228,0.0017228,0.0017228
9,3318.14,0.67437,0.56708,1.23368,0.952,0.99621,0.99334,0.8846,0.56369,0.67688,1.16115,0.0016832,0.0016832,0.0016832
10,3687.87,0.61583,0.49334,1.18867,0.97456,0.98485,0.99374,0.77746,0.98815,0.90063,1.71705,0.0016436,0.0016436,0.0016436
11,4056.02,0.61835,0.49446,1.21082,0.94726,0.98864,0.98587,0.85371,0.87591,0.76381,1.55831,0.001604,0.001604,0.001604
12,4427.08,0.58643,0.44115,1.17161,0.91939,1,0.95402,0.81081,0.82702,0.58015,1.57277,0.0015644,0.0015644,0.0015644
13,4795.17,0.60293,0.43533,1.18401,0.93687,0.89944,0.97966,0.84883,0.80901,0.85825,1.39858,0.0015248,0.0015248,0.0015248
14,5162.17,0.56832,0.40829,1.15079,0.88806,0.99242,0.93257,0.84029,0.58931,0.64943,1.21844,0.0014852,0.0014852,0.0014852
15,5528.92,0.54835,0.40132,1.15177,0.95096,1,0.97462,0.85715,0.71856,0.56726,1.37597,0.0014456,0.0014456,0.0014456
16,5895.87,0.52628,0.38832,1.13301,0.95163,0.99621,0.99216,0.77604,0.85224,0.92473,1.48825,0.001406,0.001406,0.001406
17,6264.43,0.54894,0.38673,1.14878,0.93614,1,0.98578,0.87098,0.60845,0.47529,1.29843,0.0013664,0.0013664,0.0013664
18,6633.3,0.55144,0.37268,1.12557,0.9523,1,0.99237,0.88695,0.55978,0.5338,1.26933,0.0013268,0.0013268,0.0013268
19,7004.94,0.5377,0.35281,1.12538,0.97876,0.95833,0.99314,0.95904,0.41526,0.43985,1.05749,0.0012872,0.0012872,0.0012872
20,7376.06,0.51036,0.33819,1.11259,0.94241,0.99168,0.99001,0.93831,0.55778,0.52092,1.28053,0.0012476,0.0012476,0.0012476
21,7743.29,0.50372,0.33579,1.10969,0.94944,0.99593,0.99025,0.93718,0.52173,0.53802,1.21084,0.001208,0.001208,0.001208
22,8117.55,0.50561,0.33326,1.10643,0.93854,1,0.95526,0.89784,0.46019,0.46416,1.15373,0.0011684,0.0011684,0.0011684
23,8487.92,0.50441,0.33033,1.10097,0.90934,1,0.95486,0.90073,0.45776,0.39265,1.1711,0.0011288,0.0011288,0.0011288
24,8856.25,0.50062,0.31753,1.08653,0.93842,1,0.98841,0.96991,0.38071,0.54358,1.06479,0.0010892,0.0010892,0.0010892
25,9225.25,0.47131,0.3081,1.08045,0.93915,1,0.94329,0.89092,0.46045,0.45746,1.08981,0.0010496,0.0010496,0.0010496
