epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,9595.36,0.47269,0.31048,1.07765,0.92789,0.97727,0.94627,0.88995,0.44852,0.57113,1.12396,0.00101,0.00101,0.00101
27,9966.11,0.46734,0.30417,1.07914,0.94731,0.77273,0.90293,0.82295,0.75416,0.99046,1.42155,0.0009704,0.0009704,0.0009704
28,10335.2,0.4784,0.30463,1.09199,0.93893,1,0.98021,0.95856,0.39578,0.39148,1.01384,0.0009308,0.0009308,0.0009308
29,10704,0.47006,0.29667,1.07777,0.93605,1,0.96393,0.94314,0.42319,0.39142,1.03369,0.0008912,0.0008912,0.0008912
30,11069.1,0.45686,0.28794,1.0655,0.93931,1,0.94051,0.87248,0.36382,0.36298,1.04375,0.0008516,0.0008516,0.0008516
31,11438.1,0.45801,0.27735,1.07557,0.93924,1,0.93511,0.89678,0.34439,0.31627,1.012,0.000812,0.000812,0.000812
32,11809,0.44829,0.27024,1.05732,0.93948,0.9997,0.99028,0.96432,0.41348,0.45362,1.06667,0.0007724,0.0007724,0.0007724
33,12181.1,0.43603,0.26795,1.05253,0.93928,1,0.98521,0.96337,0.41916,0.36504,1.06626,0.0007328,0.0007328,0.0007328
34,12551.2,0.4388,0.26324,1.06062,0.9331,0.92803,0.97466,0.91042,0.54686,0.5624,1.1747,0.0006932,0.0006932,0.0006932
35,12920.1,0.45535,0.27028,1.0786,0.90999,0.88078,0.95347,0.84221,0.80686,0.76929,1.42751,0.0006536,0.0006536,0.0006536
36,13290.4,0.43518,0.26756,1.05428,0.92771,1,0.96394,0.90483,0.51785,0.41175,1.13931,0.000614,0.000614,0.000614
37,13659.3,0.42268,0.26064,1.04546,0.93915,1,0.97285,0.91877,0.38971,0.3686,1.03196,0.0005744,0.0005744,0.0005744
38,14029,0.44341,0.26529,1.05554,0.93763,1,0.93813,0.90708,0.37118,0.34382,1.02096,0.0005348,0.0005348,0.0005348
39,14400.6,0.42822,0.25925,1.06224,0.93621,0.98864,0.96545,0.93407,0.35569,0.45581,1.03165,0.0004952,0.0004952,0.0004952
40,14771.6,0.41516,0.24301,1.04871,0.93838,1,0.9591,0.91498,0.49764,0.50075,1.14507,0.0004556,0.0004556,0.0004556
41,15145.4,0.33165,0.24108,0.99944,0.9186,0.94042,0.93941,0.85783,0.55375,0.62196,1.22295,0.000416,0.000416,0.000416
42,15515.2,0.34764,0.22483,1.01767,0.93734,0.99242,0.98955,0.91724,0.43673,0.51071,1.09729,0.0003764,0.0003764,0.0003764
43,15873.1,0.3196,0.21059,1.00094,0.93948,1,0.9874,0.93375,0.34928,0.3404,1.00542,0.0003368,0.0003368,0.0003368
44,16231.4,0.32055,0.19928,0.97991,0.98027,1,0.99496,0.96048,0.36294,0.30331,1.01947,0.0002972,0.0002972,0.0002972
45,16587.2,0.31309,0.2008,0.97575,0.94952,1,0.99412,0.95987,0.36449,0.34347,1.0116,0.0002576,0.0002576,0.0002576
46,16945,0.29829,0.19469,0.96382,0.94264,0.99602,0.99378,0.92139,0.36682,0.39423,1.01587,0.000218,0.000218,0.000218
47,17305,0.29891,0.18856,0.96287,0.93945,1,0.99418,0.96121,0.33534,0.34022,0.97315,0.0001784,0.0001784,0.0001784
48,17665.3,0.30588,0.18799,0.96532,0.93945,1,0.99318,0.96004,0.331,0.30509,0.96674,0.0001388,0.0001388,0.0001388
49,18026.9,0.28841,0.18409,0.95148,0.93913,1,0.99292,0.96483,0.33734,0.33063,0.96324,9.92e-05,9.92e-05,9.92e-05
50,18387.2,0.28377,0.18482,0.95745,0.93887,1,0.99173,0.96939,0.32103,0.33196,0.94489,5.96e-05,5.96e-05,5.96e-05
