epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,452.187,0.66261,2.07869,1.23219,0.00333,1,0.16752,0.05202,1.72385,4.21458,2.63352,0.000649123,0.000649123,0.000649123
2,901.105,0.61551,1.36048,1.17592,0.82152,0.30213,0.39011,0.2267,1.767,3.92518,3.10351,0.00128974,0.00128974,0.00128974
3,1398.44,0.66562,1.13757,1.20237,0.19621,0.55319,0.19649,0.10439,2.34589,3.7436,2.87858,0.00190395,0.00190395,0.00190395
4,1871.45,0.67621,0.98624,1.18577,0.61296,0.55319,0.52167,0.27637,2.20617,3.5361,2.76915,0.0018812,0.0018812,0.0018812
5,2311,0.59061,0.78242,1.12233,0.38147,0.39104,0.38481,0.19314,2.11581,3.59531,2.93726,0.0018416,0.0018416,0.0018416
6,2748.31,0.55735,0.6849,1.08524,0.07768,0.19574,0.02254,0.01157,3.25991,4.99656,3.52849,0.001802,0.001802,0.001802
7,3186.77,0.55191,0.64345,1.09247,0.26097,0.22553,0.10791,0.06362,2.31743,4.80626,3.20146,0.0017624,0.0017624,0.0017624
8,3626.91,0.51911,0.54501,1.07171,0.30027,0.46016,0.28048,0.1746,2.25805,3.24788,3.07267,0.0017228,0.0017228,0.0017228
9,4066.14,0.46364,0.47116,1.02258,0.56679,0.64255,0.49225,0.398,1.87561,2.64762,2.49773,0.0016832,0.0016832,0.0016832
10,4509.1,0.48429,0.47226,1.03634,0.72301,0.20426,0.25907,0.14553,2.45376,2.69475,2.76778,0.0016436,0.0016436,0.0016436
11,4949.42,0.48307,0.43598,1.04066,0.54865,0.62553,0.46425,0.37427,1.93118,2.99907,2.58804,0.001604,0.001604,0.001604
