epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.977,0.87712,1.45959,1.30186,0.83064,0.80682,0.89672,0.75741,0.66482,1.77559,1.01666,0.00062,0.00062,0.00062
2,348.93,0.71531,0.83281,1.15425,0.98984,0.89015,0.98049,0.82787,0.7126,1.68838,1.04644,0.00123505,0.00123505,0.00123505
3,521.207,0.70998,0.77289,1.12191,0.7279,0.95455,0.96934,0.72296,0.93993,2.44907,1.64282,0.00182476,0.00182476,0.00182476
4,696.468,0.702,0.69517,1.12457,0.46236,0.85022,0.58749,0.30009,1.08517,2.04469,1.56691,0.0018812,0.0018812,0.0018812
5,868.34,0.63414,0.58283,1.0797,0.18148,0.7803,0.21993,0.05468,2.66028,2.74214,4.44437,0.0018416,0.0018416,0.0018416
6,1039.72,0.65512,0.55602,1.0927,0.78249,0.87214,0.89021,0.72899,0.76481,1.2107,1.29916,0.001802,0.001802,0.001802
7,1211.19,0.61934,0.51115,1.06311,0.87824,0.99621,0.9614,0.84111,0.69496,0.85509,1.10771,0.0017624,0.0017624,0.0017624
8,1383.54,0.62181,0.48788,1.07116,0.953,0.99849,0.97332,0.86766,0.56419,0.62409,0.87039,0.0017228,0.0017228,0.0017228
9,1554.95,0.59501,0.45626,1.06001,0.9935,0.97348,0.99409,0.95349,0.3795,0.41913,0.77873,0.0016832,0.0016832,0.0016832
10,1724.04,0.58608,0.42307,1.05235,0.94708,1,0.99478,0.89299,0.56528,0.64825,1.01725,0.0016436,0.0016436,0.0016436
11,1895.56,0.58599,0.43613,1.0788,0.92999,0.98864,0.99005,0.92485,0.59036,0.68838,1.02268,0.001604,0.001604,0.001604
12,2064.66,0.54649,0.39131,1.04299,0.9218,0.99621,0.97351,0.83037,0.57345,0.70721,1.03589,0.0015644,0.0015644,0.0015644
13,2236.23,0.56879,0.39014,1.05814,0.42958,0.78409,0.56105,0.18999,2.56774,2.10404,3.25613,0.0015248,0.0015248,0.0015248
14,2405.16,0.54434,0.37769,1.03245,0.84247,0.90909,0.95856,0.69986,0.79554,1.27377,1.1408,0.0014852,0.0014852,0.0014852
15,2575.09,0.53723,0.37042,1.03713,0.95271,0.85606,0.96663,0.9273,0.38719,0.68161,0.81584,0.0014456,0.0014456,0.0014456
16,2744.25,0.52085,0.35396,1.02546,0.93056,0.96442,0.98926,0.95861,0.30989,0.5455,0.76044,0.001406,0.001406,0.001406
17,2914.09,0.53559,0.35268,1.03932,0.93864,0.9697,0.99068,0.91138,0.38404,0.62462,0.7631,0.0013664,0.0013664,0.0013664
18,3083.98,0.51322,0.33296,1.0153,0.98141,0.9996,0.99496,0.96041,0.35317,0.40373,0.79777,0.0013268,0.0013268,0.0013268
19,3253.34,0.5011,0.32485,1.00931,0.97727,1,0.99458,0.87242,0.59908,0.69777,0.98153,0.0012872,0.0012872,0.0012872
20,3422.73,0.49928,0.31182,1.01454,0.98873,0.99672,0.99481,0.92571,0.47875,0.47059,0.9016,0.0012476,0.0012476,0.0012476
21,3595.12,0.48463,0.31351,1.00419,0.99691,0.96591,0.99382,0.89452,0.42362,0.36626,0.83148,0.001208,0.001208,0.001208
22,3765.1,0.48709,0.30995,1.00733,0.95925,0.98078,0.99258,0.91105,0.551,0.4412,1.00657,0.0011684,0.0011684,0.0011684
23,3934.7,0.46176,0.30348,1.00209,0.92582,0.99275,0.98965,0.78113,0.68399,0.59711,1.02001,0.0011288,0.0011288,0.0011288
24,4104.18,0.48741,0.30835,1.00852,0.98848,0.97472,0.99437,0.93779,0.43924,0.45878,0.89737,0.0010892,0.0010892,0.0010892
25,4273.34,0.44677,0.2953,0.98834,0.94335,1,0.99463,0.9157,0.36493,0.40362,0.81088,0.0010496,0.0010496,0.0010496
26,4442.6,0.4481,0.27785,0.98058,0.93925,1,0.98888,0.9552,0.39382,0.35709,0.80225,0.00101,0.00101,0.00101
27,4612.66,0.46285,0.29204,0.99985,0.95318,0.99242,0.99208,0.96416,0.43414,0.44526,0.87823,0.0009704,0.0009704,0.0009704
28,4783.16,0.44944,0.29434,0.99161,0.945,1,0.97646,0.95021,0.44385,0.5286,0.83484,0.0009308,0.0009308,0.0009308
