epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1237.59,1.02093,3.30497,1.58171,1,0.50892,0.69852,0.49857,1.00508,40.1133,1.85003,0.000471522,0.000471522,0.000471522
2,2460.21,1.00198,2.39635,1.53312,0.89017,0.58333,0.71175,0.47235,1.43132,34.6832,2.13909,0.000929088,0.000929088,0.000929088
3,3677.69,1.0151,1.7314,1.5468,0.94808,0.52168,0.63306,0.52201,1.28733,21.9945,1.91534,0.00136779,0.00136779,0.00136779
4,4887.96,1.01557,1.41516,1.56004,0.15609,0.60476,0.15998,0.05825,1.63087,34.3083,2.43392,0.00134412,0.00134412,0.00134412
5,6100.82,0.98918,1.1828,1.52297,0.9039,0.6,0.68173,0.45417,1.72982,7.33055,2.16818,0.00131582,0.00131582,0.00131582
6,7312.81,0.95456,1.09797,1.48284,0.62237,0.65,0.72361,0.51618,1.54351,7.63684,2.03418,0.00128753,0.00128753,0.00128753
7,8520.31,0.91681,0.96593,1.45254,0.88982,0.5619,0.6846,0.48081,1.65768,5.15385,2.19564,0.00125923,0.00125923,0.00125923
8,9730.76,0.88541,0.91026,1.43617,0.71157,0.54762,0.59341,0.42555,1.34793,18.433,1.93506,0.00123094,0.00123094,0.00123094
9,10925.4,0.87374,0.899,1.4115,0.73776,0.50236,0.53084,0.19221,2.06783,3.78017,2.56283,0.00120265,0.00120265,0.00120265
10,12118.9,0.84983,0.88278,1.38937,0.96879,0.51739,0.74649,0.59899,1.31682,8.57192,1.77038,0.00117435,0.00117435,0.00117435
11,13319.9,0.83675,0.82786,1.37853,0.99898,0.54286,0.63158,0.4712,1.91015,4.30042,2.43559,0.00114606,0.00114606,0.00114606
12,14518.8,0.80164,0.80869,1.34556,0.98491,0.6215,0.6957,0.56308,1.16344,3.42377,1.59908,0.00111776,0.00111776,0.00111776
13,15720.1,0.78322,0.79337,1.34043,0.9373,0.61667,0.68189,0.53485,1.35036,4.32199,1.73864,0.00108947,0.00108947,0.00108947
14,16919.2,0.75586,0.75689,1.30431,0.92881,0.62143,0.71766,0.45701,1.063,5.98099,1.59551,0.00106118,0.00106118,0.00106118
15,18112.8,0.78403,0.76253,1.33527,0.81653,0.74048,0.76939,0.59256,1.24931,8.84213,1.77395,0.00103288,0.00103288,0.00103288
16,19373.1,0.7753,0.75423,1.32879,0.85507,0.57596,0.65596,0.55265,1.37253,7.34353,1.82049,0.00100459,0.00100459,0.00100459
